repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
visit,Issue_506,590,0,61,12,4,1,0.08333333333333333,0.07627118644067797,code/design_debt,-0.2711864406779661,1.525519486737527,0.08572135503192882
visit,Issue_496,983,0,432,16,10,1,0.25,0.5340793489318413,code/design_debt,0.08036622583926754,0.9260925044163804,0.036429668402740575
visit,Issue_488,616,0,247,14,6,1,0.07142857142857142,0.1590909090909091,requirement_debt,-0.21753246753246752,1.233776775172879,0.09561310618534907
visit,Issue_467,1301,0,777,27,19,1,0.1111111111111111,0.2121445042275173,scientific_debt,0.4358186010760953,0.5765635256034942,0.06903368363701085
visit,Issue_457,1403,0,1025,26,19,1,0.11538461538461539,0.14112615823235922,code/design_debt,0.4868139700641482,0.7127266429189962,0.12425032418514603
visit,Issue_451,828,0,403,16,8,1,0.0625,0.08333333333333333,requirement_debt,0.7922705314009661,0.6373544306751615,0.09815832981016723
visit,Issue_446,696,0,173,23,15,0,0.0,0.0,,-0.1781609195402299,1.140187090362865,0.08659833192663059
visit,Issue_445,1358,0,967,36,28,0,0.0,0.0,,0.3475699558173785,0.8118538023492247,0.054752811888800955
visit,Issue_427,409,0,69,14,6,1,0.21428571428571427,0.7310513447432763,scientific_debt,-0.10024449877750612,1.1532553863601624,0.08352123520242337
visit,Issue_424,722,0,188,17,9,1,0.11764705882352941,0.013850415512465374,test_debt,0.07756232686980609,0.9238910978637813,0.11241526028922898
visit,Issue_417,1105,0,474,12,6,1,0.16666666666666666,0.3384615384615385,documentation_debt,0.47692307692307695,0.7505325443786983,0.09348908321871219
visit,Issue_412,797,0,337,21,15,1,0.19047619047619047,0.2521957340025094,test_debt,0.1668757841907152,0.7258818226232101,0.07849561001475303
visit,Issue_407,2329,0,955,16,8,1,0.0625,0.24130528123658224,documentation_debt,-0.46758265349935596,1.569320527978016,0.08511784181249009
visit,Issue_403,853,0,323,15,7,1,0.13333333333333333,0.5099648300117233,code/design_debt,-0.205158264947245,1.233570960960259,0.0718717372388424
visit,Issue_389,2456,0,1866,21,13,1,0.14285714285714285,0.46620521172638435,scientific_debt,0.09771986970684039,0.869949359068607,0.07663763974598446
